Número da contratação,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Código Classe/Grupo,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,Valor Total,Valor Total Contratação,ID
46/2026,Devolvida,,Mobiliário corporativo,BENS,102122,46237,46357,120,BAO - ODONTOP. ORTO. S COLETIVA,320/2025,Médio,2,46203,Material,7110,MOBILIÁRIO PARA ESCRITÓRIO,313.0,CADEIRA ESCRITÓRIO,,,,3.0,1,3.0,39503.0,
46/2026,Devolvida,,Mobiliário corporativo,BENS,102122,46237,46357,120,BAO - ODONTOP. ORTO. S COLETIVA,320/2025,Médio,3,46203,Material,7110,MOBILIÁRIO PARA ESCRITÓRIO,9611.0,MESA,,,,4500.0,1,4500.0,39503.0,
46/2026,Devolvida,,Mobiliário corporativo,BENS,102122,46237,46357,120,OBRAS,328/2025,Alto,2,46037,Material,5963,Módulos Eletrônicos,17955.0,Mesa,624334.0,"aplicação: notebook, material: mdf, tratamento superficial: plástico",UN,600.0,1,600.0,39503.0,
46/2026,Devolvida,,Mobiliário corporativo,BENS,102122,46237,46357,120,OBRAS,328/2025,Alto,3,46037,Material,7110,Mobiliário Para Escritório,313.0,Cadeira Escritório,625040.0,"apoio braço: com braços reguláveis, características adicionais: encosto de cabeça e suporte lombar, cor: preta, dimensões assento: 450 x 490, dimensões encosto: 450 x 560, material assento: compensado/espuma injetada, material encosto: polipropileno telado, material estrutura: resina termoplástica injetada, material revestimento assento e encosto: couro ecológico/tecido sintético, quantidade pés: 5, tipo base: giratória com 5 rodízios duplos, tipo encosto: espaldar alto c/ apoio de cabeça",UN,600.0,1,600.0,39503.0,
50/2026,Aprovada,,capa de prontuário personalizado,BENS,102122,46240,46360,120,CLINICA DE FONOAUDIOLOGIA,38/2025,Médio,1,46112,Material,7540,Formulários padronizados,8305.0,Impresso padronizado,,,,15000.0,1,15000.0,15000.0,14.0
51/2026,Aprovada,,Testes psicológicos e pedagógicos,BENS,102122,46084,46204,120,BAF - FONOAUDIOLOGIA,31/2025,Alto,1,46023,Serviço,859,OUTROS SERVIÇOS DE SUPORTE,,,18384.0,TESTES E AVALIAÇÕES DE PROEFICIÊNCIA E CAPACIDADE PSICO/EDUCACIONAIS,,900.0,28,25200.0,66832.0,10.0
51/2026,Aprovada,,Testes psicológicos e pedagógicos,BENS,102122,46084,46204,120,CLINICA DE FONOAUDIOLOGIA,97/2025,Alto,1,46081,Material,7690,IMPRESSOS DIVERSOS,12698.0,TESTES PSICOLÓGICOS,,,,34288.0,1,34288.0,66832.0,10.0
51/2026,Aprovada,,Testes psicológicos e pedagógicos,BENS,102122,46084,46204,120,CLINICA DE FONOAUDIOLOGIA,99/2025,Médio,1,46101,Material,7820,"Jogos, Brinquedos E Artigos Correlatos Com Rodas",8533.0,Jogo / Brinquedo Pedagógico,,,,6193.0,1,6193.0,66832.0,10.0
51/2026,Aprovada,,Testes psicológicos e pedagógicos,BENS,102122,46084,46204,120,CLINICA DE FONOAUDIOLOGIA,97/2025,Alto,2,46081,Material,7610,Livros e folhetos,9496.0,Material pedagógico,,,,1151.0,1,1151.0,66832.0,10.0
47/2026,Aprovada,,Móveis planejados,SERVICOS,102122,46105,46224,119,CPC,230/2025,Médio,1,46260,Material,7195,MOBILIÁRIOS DIVERSOS E ACESSÓRIOS,,,,,,6000.0,1,6000.0,56000.0,277.0
47/2026,Aprovada,,Móveis planejados,SERVICOS,102122,46105,46224,119,ALMOXARIFADO,359/2025,Médio,1,46204,Serviço,951,"Serviços Fornecidos Por Organizações Comercial,De Empregadore De Profissionais",,,13200.0,Confecção de Móvel de Madeira com / sem Revestimento de Fór-Mica,,50000.0,1,50000.0,56000.0,277.0
48/2026,Aprovada,,Plataforma Acessibilidade,BENS,102122,46113,46233,120,BAF - FONOAUDIOLOGIA,348/2025,Alto,1,46023,Material,7195,Mobiliários diversos e acessórios,10898.0,Plataforma - aerea trabalho,,,,30000.0,1,30000.0,30000.0,20.0
49/2026,Aprovada,,Sistema de monitoramento e segurança,BENS,102122,45960,46080,120,BAO - ODONTOP. ORTO. S COLETIVA,83/2025,Médio,1,46142,Material,6350,"Sistemas diversos de sinalização, alarme e detecção para  segurança",,,,,,1800.0,1,1800.0,13850.0,15.0
49/2026,Aprovada,,Sistema de monitoramento e segurança,BENS,102122,45960,46080,120,BAO - ODONTOP. ORTO. S COLETIVA,114/2025,Médio,1,46142,Material,5963,Módulos eletrônicos,14501.0,Controlador Acesso,443453.0,"tipo: display tipo touch-screen, padrão: stand-alone, tipo conexão: rede local, características adicionais: identificaçao através de biometria/smart card, aplicação: monitoramento e controle de portas de acesso, tipo uso: fechadura do tipo eletroima ou eletromagnética",UN,750.0,3,2250.0,13850.0,15.0
49/2026,Aprovada,,Sistema de monitoramento e segurança,BENS,102122,45960,46080,120,BAD - DENT. ENDO. MAT ODONT.,184/2025,Alto,1,46114,Material,6350,"Sistemas Diversos De Sinalização, Alarme E Detecção Para  Segurança",18318.0,Fechadura Biometrica,,,,3300.0,1,3300.0,13850.0,15.0
49/2026,Aprovada,,Sistema de monitoramento e segurança,BENS,102122,45960,46080,120,BAD - DENT. ENDO. MAT ODONT.,270/2025,Alto,1,46126,Material,5836,Equipamentos para gravação e reprodução de vídeo,,,,,,1500.0,1,1500.0,13850.0,15.0
49/2026,Aprovada,,Sistema de monitoramento e segurança,BENS,102122,45960,46080,120,CIP,318/2025,Baixo,1,46083,Material,6350,"Sistemas diversos de sinalização, alarme e detecção para  segurança",14501.0,Controlador Acesso,443453.0,"tipo: display tipo touch-screen, padrão: stand-alone, tipo conexão: rede local, características adicionais: identificaçao através de biometria/smart card, aplicação: monitoramento e controle de portas de acesso, tipo uso: fechadura do tipo eletroima ou eletromagnética",UN,5000.0,1,5000.0,13850.0,15.0
54/2026,Aprovada,,Manutenção de elevadores,SERVICOS,102122,46216,46336,120,ATA - ADMINISTRACAO,135/2025,Alto,1,46329,Serviço,546,SERVIÇOS DE INSTALAÇÃO,,,3557.0,"INSTALAÇÃO / MANUTENÇÃO - ELEVADORES, ESCADAS ROLANTES, MON-TA - CARGAS / PLATAFORMA / ESCADAS",,25000.0,1,25000.0,25000.0,8.0
52/2026,Aprovada,,Container Rondônia,BENS,102122,46113,46233,120,PROJETO RONDONIA,349/2025,Médio,1,46054,Material,8145,Recipientes especializados para transporte e armazenagem,,,,,,15000.0,1,15000.0,15000.0,9.0
55/2026,Aprovada,,Serviços manutenção clínica de Fono,SERVICOS,102122,45953,46073,120,CLINICA DE FONOAUDIOLOGIA,80/2025,Alto,1,46073,Serviço,547,Serviço de acabamento e finalização dos edifícios,,,5312.0,Instalação / manutenção / remoção - piso em geral (exceto madeirados),,110.0,36,3960.0,25600.0,6.0
55/2026,Aprovada,,Serviços manutenção clínica de Fono,SERVICOS,102122,45953,46073,120,CLINICA DE FONOAUDIOLOGIA,81/2025,Alto,1,46073,Serviço,873,Serviços de instalação(à exceção da construção),,,13137.0,Confecção / instalação - vidro / espelho / moldura,,5410.0,4,21640.0,25600.0,6.0
56/2026,Aprovada,,Limpeza de Caixa de água,SERVICOS,102122,45971,46091,120,ATA - ADMINISTRACAO,112/2025,Médio,1,46059,Serviço,853,Serviços de limpeza,,,,,,22000.0,1,22000.0,22000.0,5.0
53/2026,Aprovada,,ARP Zeladoria,BENS,102122,46146,46265,119,ATA - ADMINISTRACAO,167/2025,Médio,2,46101,Material,8520,"Sabonetes, artigos para barbear e dentifrícios",,,,,,18000.0,1,18000.0,18000.0,231.0
57/2026,Aprovada,,Calibração de equipamentos Fono,SERVICOS,102122,45971,46091,120,CLINICA DE FONOAUDIOLOGIA,183/2025,Médio,1,46093,Serviço,872,Serviços de reparo de outros bens,,,,,,21000.0,1,21000.0,21000.0,4.0
58/2026,Aprovada,,Confecção de moldes AASI,SERVICOS,102122,46007,46127,120,CLINICA DE FONOAUDIOLOGIA,87/2025,Médio,1,46055,Serviço,881,Serviços de manufatura em insumos físicos que sao propriedade de outros(exceto maquinaria e equipamento),,,19992.0,Confecção órtese auditiva,,40.0,900,36000.0,74500.0,2.0
58/2026,Aprovada,,Confecção de moldes AASI,SERVICOS,102122,46007,46127,120,CLINICA DE FONOAUDIOLOGIA,87/2025,Médio,2,46055,Serviço,881,Serviços de manufatura em insumos físicos que sao propriedade de outros(exceto maquinaria e equipamento),,,19992.0,Confecção órtese auditiva,,35.0,1100,38500.0,74500.0,2.0
59/2026,Aprovada,,Coleta de resíduos médico hospitalares,SERVICOS,102122,45993,46113,120,ATA - ADMINISTRACAO,155/2025,Alto,1,46132,Serviço,942,Serviços De Eliminação De Rejeitos,,,19380.0,Coleta / Tratamento Lixo - Hospitalar,,2.6,10000,26000.0,26000.0,1.0
1/2026,Aprovada,,Serviços manutenção de cobertura,SERVICOS,102122,46083,46203,120,OBRAS,220/2025,Alto,1,46082,Serviço,545,Tipos especiais de serviços de construção,,,19224.0,Construção / manutenção / reforma - telhado,,23000.0,1,23000.0,68000.0,10.0
1/2026,Aprovada,,Serviços manutenção de cobertura,SERVICOS,102122,46083,46203,120,BIBLIOTECA,262/2025,Alto,1,46080,Serviço,545,Tipos especiais de serviços de construção,,,19224.0,Construção / manutenção / reforma - telhado,,45000.0,1,45000.0,68000.0,10.0
5/2026,Aprovada,,Ar Condicionado ,BENS,102122,45989,46111,122,ATF - FINANCEIRO,205/2025,Médio,1,46218,Material,4120,Equipamento de ar condicionado,,,,,,80000.0,1,80000.0,299800.0,69.0
5/2026,Aprovada,,Ar Condicionado ,BENS,102122,45989,46111,122,ATF - FINANCEIRO,227/2025,Médio,1,46218,Material,4120,Equipamento de ar condicionado,,,,,,122000.0,1,122000.0,299800.0,69.0
5/2026,Aprovada,,Ar Condicionado ,BENS,102122,45989,46111,122,ATAC - ACADEMICA,245/2025,Alto,1,46122,Material,4120,EQUIPAMENTO DE AR CONDICIONADO,,,,,,35000.0,1,35000.0,299800.0,69.0
5/2026,Aprovada,,Ar Condicionado ,BENS,102122,45989,46111,122,CLINICAS ODONTO,290/2025,Alto,1,46233,Material,4120,Equipamento de ar condicionado,,,,,,62800.0,1,62800.0,299800.0,69.0
6/2026,Aprovada,Fase Externa,Recarga de extintor e teste de estanqueidade,SERVICOS,102122,45989,46072,83,ATA - ADMINISTRACAO,251/2025,Alto,1,46086,Material,4210,Equipamentos para combate a incêndio,,,,,,10000.0,1,10000.0,15600.0,5.0
6/2026,Aprovada,Fase Externa,Recarga de extintor e teste de estanqueidade,SERVICOS,102122,45989,46072,83,ATA - ADMINISTRACAO,253/2025,Alto,1,46183,Serviço,835,Serviços científicos e outros serviços técnicos,,,16276.0,Execução de teste de estanqueidade,,80.0,70,5600.0,15600.0,5.0
7/2026,Aprovada,Fase Externa,Renovação AVCB,SERVICOS,102122,46048,46057,9,ATA - ADMINISTRACAO,313/2025,Alto,1,46069,Serviço,833,Serviços de engenharia,,,,,,35000.0,1,35000.0,35000.0,64.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,Biotério,131/2025,Alto,1,46142,Material,8710,Forragens e alimentos,,,,,,7500.0,1,7500.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,Biotério,137/2025,Alto,1,46142,Material,9999,ITENS DIVERSOS,6695.0,CONJUNTO FILTRAGEM,,,,10790.0,1,10790.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,ATA - ADMINISTRACAO,194/2025,Médio,1,46063,Material,4460,Equipamentos para purificação de ar,,,,,,25000.0,1,25000.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,Biotério,243/2025,Alto,1,46142,Serviço,873,Serviços de instalação(à exceção da construção),,,20141.0,Instalação / montagem / manutenção - estante ventilada / isolador animal / canil,,3532.6,2,7065.2,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,238/2025,Alto,1,46157,Material,6640,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,12139.0,SISTEMA FILTRAÇÃO,605791.0,"ADICIONAL: REFIL, CAPACIDADE: 1000, COMPONENTES ADICIONAIS: COM FILTRO 0,22 ?M (PES), COMPOSIÇÃO: COM FUNIL, ESTERILIDADE: ESTÉRIL, MATERIAL: EM PLÁSTICO, TIPO: À VÁCUO",UN,1750.0,1,1750.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,238/2025,Alto,2,46157,Material,6240,Lâmpadas Elétricas,8658.0,Lâmpada Fluorescente,454050.0,"características adicionais: com filtro ultravioleta, comprimento máximo: 600, potência nominal: 18, tensão nominal: 127/220, tipo: germicida, tipo base: g13, tipo bulbo: t8",UN,180.0,1,180.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,238/2025,Alto,3,46157,Material,4460,Equipamentos Para Purificação De Ar,13506.0,Unidade Descontaminação Ar,470870.0,"aplicação: descontaminação ambiental doméstica/comercial, características adicionais: baixo nível ruído/fácil instalação, forma filtragem: pré-filtro bactericida / filtro hepa, tipo: compacta e portátil, tipo sistema: filtragem",UN,5500.0,1,5500.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,1,46091,Material,6240,Lâmpadas Elétricas,8670.0,Lâmpada Ultravioleta,455354.0,"formato: tubular, potência nominal: 15, tensão alimentação: 54, tipo: tuv, tipo base: g13, tipo bulbo: t8",UN,2800.0,1,2800.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,2,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,627872.0,"aplicação: lampada uv, referência: 3at43984-0500 - gehaka, tipo: soquete",UN,2800.0,1,2800.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,3,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,626216.0,"aplicação: purificador de água acquabios ab 200, características adicionais: tripla filtragem, blindado, referência 1: mpgp 002a1, tipo 1: refil purificador",UN,610.0,1,610.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,4,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,625121.0,"altura: 205, aplicação: purificador água hoken modelo hk 601 e hk 1000, componentes: carvão ativado, tipo: filtro refil",UN,180.0,1,180.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,5,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,625120.0,"altura: 220, aplicação: purificador água ibbl modelo bdf 300, componentes: fibra de polipropileno, tipo: filtro refil",UN,130.0,1,130.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,6,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,625161.0,"altura: 5, aplicação: ponto de entrada (poe), características adicionais: conexões: 3/4 (rosca metálica), tipo 1: carcaça de filtro em polipropileno""",UN,120.0,1,120.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,7,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,618426.0,"aplicação: purificador millipore, referência: cdrc60202, tipo: cartucho deionização",UN,3500.0,1,3500.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,8,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,618273.0,"aplicação: purificador de água colormaq premium, capacidade deionização: 48, características adicionais: vida útil: 3.000 litros, componentes: carvão ativado, tipo: filtro refil",UN,1505.0,1,1505.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,9,46091,Material,9999,Itens diversos,3488.0,Peças E Acessórios Purificador Água,618503.0,"aplicação: filtro elix 35, características adicionais: com retentor de co2, referência 1: tankvnt02, marca millipore, tipo 1: filtro para respiro de tanque de água",UN,1661.0,1,1661.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,278/2025,Alto,1,46091,Serviço,872,Serviços De Reparo De Outros Bens,,,14460.0,Aferição e/ou Calibração de Sensores,,1800.0,1,1800.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,BAB - CIENCIAS BIOLÓGICAS,238/2025,Alto,1,46157,Serviço,872,SERVIÇOS DE REPARO DE OUTROS BENS,,,14427.0,"AFERIÇÃO, CALIBRAÇÃO E MEDIÇÃO DE MÁQUINAS / INSTRUMENTOS  /SENSORES / PADRÕES / EQUIPAMENTOS",,2100.0,2,4200.0,82091.2,15.0
9/2026,Aprovada,,Filtros Diversos,BENS,102122,46051,46171,120,CIP,247/2025,Baixo,1,46083,Material,9150,"Óleos e graxas para corte, lubrificação e sistemas  hidráulicos",,,,,,5000.0,1,5000.0,82091.2,15.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,Biotério,136/2025,Alto,1,46142,Material,4720,MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS,13821.0,MANGUEIRA,,,,6196.0,1,6196.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,187/2025,Baixo,1,46111,Material,4730,"Acessórios e ferragens especiais para  mangueiras, canos  e tubos",,,,,,20000.0,1,20000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,187/2025,Baixo,2,46111,Material,4710,Canos e tubos,,,,,,30000.0,1,30000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,187/2025,Baixo,3,46111,Material,5330,Gaxetas e outros materiais para vedação,,,,,,20000.0,1,20000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,206/2025,Baixo,1,46101,Material,4710,Canos E Tubos,14495.0,Tubo Metalon,,,,15000.0,1,15000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,206/2025,Baixo,2,46101,Material,5345,Discos e pedras abrasivos,,,,,,6000.0,1,6000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,206/2025,Baixo,3,46101,Material,4510,Dispositivos e acessórios para instalações hidráulicas,,,,,,8000.0,1,8000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,212/2025,Baixo,3,46111,Material,5350,Materiais Abrasivos,,,,,,1500.0,1,1500.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,217/2025,Baixo,1,46114,Material,5120,"Ferramentas manuais sem corte, não acionadas  por  força  motriz",,,,,,6000.0,1,6000.0,120696.0,189.0
10/2026,Aprovada,,Ferramentas e  itens de manutenção,BENS,102122,46113,46233,120,ATA - ADMINISTRACAO,217/2025,Baixo,2,46114,Material,5130,Ferramentas Manuais Acionadas Por Força Motriz,,,,,,8000.0,1,8000.0,120696.0,189.0
13/2026,Aprovada,,Material de Pintura,BENS,102122,45974,46094,120,ATA - ADMINISTRACAO,212/2025,Baixo,1,46111,Material,8010,"Tintas, vernizes e produtos correlatos",,,,,,15000.0,1,15000.0,16500.0,120.0
13/2026,Aprovada,,Material de Pintura,BENS,102122,45974,46094,120,ATA - ADMINISTRACAO,212/2025,Baixo,2,46111,Material,8020,Pincel para artistas e pintores,,,,,,1500.0,1,1500.0,16500.0,120.0
14/2026,Aprovada,,Vestuário,BENS,102122,46190,46310,120,ATAC - ACADEMICA,102/2025,Médio,1,46173,Material,8405,Vestuário externo masculino,,,,,,24000.0,1,24000.0,55000.0,396.0
14/2026,Aprovada,,Vestuário,BENS,102122,46190,46310,120,ATA - ADMINISTRACAO,235/2025,Alto,1,46063,Material,6640,Equipamentos e artigos de laboratório,,,,,,25000.0,1,25000.0,55000.0,396.0
14/2026,Aprovada,,Vestuário,BENS,102122,46190,46310,120,ATA - ADMINISTRACAO,244/2025,Médio,1,46083,Material,8415,Vestuário para fins especiais,,,,,,6000.0,1,6000.0,55000.0,396.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,4,46111,Material,5133,"Brocas, Alargadores, Escariadores, Manuais E Para Uso Em  Máquinas",3879.0,Broca,,,,2800.0,1,2800.0,13200.0,175.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,1,46111,Serviço,881,Serviços de manufatura em insumos físicos que sao propriedade de outros(exceto maquinaria e equipamento),,,18880.0,Confecção artefato em resina,,280.0,5,1400.0,13200.0,175.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,2,46111,Serviço,881,Serviços de manufatura em insumos físicos que sao propriedade de outros(exceto maquinaria e equipamento),,,18880.0,Confecção artefato em resina,,280.0,5,1400.0,13200.0,175.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,CLINICA DE FONOAUDIOLOGIA,305/2025,Médio,1,46125,Material,6520,"Instrumentos, Equipamentos E Suprimentos Dentários",3888.0,Broca Baixa Rotação,,,,2000.0,1,2000.0,13200.0,175.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,CLINICA DE FONOAUDIOLOGIA,305/2025,Médio,2,46125,Material,5350,Materiais Abrasivos,585.0,Lixa,,,,3500.0,1,3500.0,13200.0,175.0
15/2026,Aprovada,,Materiais de Laboratório Orto e Fono,BENS,102122,46051,46171,120,CLINICA DE FONOAUDIOLOGIA,305/2025,Médio,3,46125,Material,6515,"Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos",,,,,,2100.0,1,2100.0,13200.0,175.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,ALMOXARIFADO,174/2025,Médio,2,46235,Material,6515,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,300000.0,1,300000.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,1,46055,Material,6515,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",17428.0,SERINGA,439688.0,"ADICIONAL: GRADUADA, NUMERADA, APRESENTAÇÃO: EMBALAGEM INDIVIDUAL, CAPACIDADE: 5, ESTERILIDADE: ESTÉRIL, DESCARTÁVEL, MATERIAL: POLIPROPILENO, TIPO AGULHA: C/ AGULHA 22 G X 1, TIPO BICO: BICO CENTRAL LUER LOCK OU SLIP, TIPO VEDAÇÃO: ÊMBOLO DE BORRACHA""",UN,0.45,700,315.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,2,46055,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",17428.0,Seringa,439641.0,"adicional: graduada, numerada, apresentação: embalagem individual, capacidade: 10, componente adicional: c/ sistema segurança segundo nr/32, esterilidade: estéril, descartável, material: polipropileno, tipo bico: bico central luer lock ou slip, tipo vedação: êmbolo de borracha",UN,0.5,100,50.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,3,46055,Material,6515,"Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos",2171.0,Agulha Hipodérmica,,,,564.0,1,564.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,4,46055,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",13092.0,Tubo para coleta de amostra biológica,,,,370.0,1,370.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,6,46055,Material,6515,"Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos",3701.0,Cateter Periférico,625221.0,"aplicação: venoso, componente 1: câmara refluxo c/ filtro, componente 2: c/ sistema segurança segundo nr/32, comprimento: cerca 25, conector: conector padrão, diametro: 20, material agulha: agulha aço inox, material cateter: polímero radiopaco, tipo uso: estéril, descartável, embalagem individual",UN,0.6,150,90.0,302739.0,167.0
17/2026,Aprovada,,Material médico hospitalar almox,BENS,102122,46118,46237,119,BAB - CIENCIAS BIOLÓGICAS,196/2025,Alto,8,46055,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",,,,,,1350.0,1,1350.0,302739.0,167.0
61/2026,Aprovada,,Projeto Integração Interdisciplinar no Diagnóstico e Tratamento de Distúrbios  de respiração,BENS,102122,45964,46083,119,BAF - FONOAUDIOLOGIA,361/2025,Médio,1,46082,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",11752.0,Rinoscopio,,,,150000.0,1,150000.0,372500.0,272.0
61/2026,Aprovada,,Projeto Integração Interdisciplinar no Diagnóstico e Tratamento de Distúrbios  de respiração,BENS,102122,45964,46083,119,BAF - FONOAUDIOLOGIA,361/2025,Médio,2,46082,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",7717.0,Fonte de luz fria,,,,60000.0,1,60000.0,372500.0,272.0
61/2026,Aprovada,,Projeto Integração Interdisciplinar no Diagnóstico e Tratamento de Distúrbios  de respiração,BENS,102122,45964,46083,119,BAF - FONOAUDIOLOGIA,361/2025,Médio,3,46082,Material,6515,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",2085.0,Adaptador,,,,7000.0,1,7000.0,372500.0,272.0
