Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
16/2025,6640,6000,Aprovada,,Material de laboratório Ciências Biológicas,BENS,102122,45705,45825,120,BAB - CIENCIAS BIOLÓGICAS,32/2024,Médio,5,45809,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,6000,1,1,23,102122-16/2025,6000
16/2025,6640,10000,Aprovada,,Material de laboratório Ciências Biológicas,BENS,102122,45705,45825,120,BAB - CIENCIAS BIOLÓGICAS,32/2024,Médio,3,45809,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,10000,1,1,23,102122-16/2025,10000
16/2025,6640,10000,Aprovada,,Material de laboratório Ciências Biológicas,BENS,102122,45705,45825,120,BAB - CIENCIAS BIOLÓGICAS,59/2024,Médio,2,45853,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,10000,1,2,23,102122-16/2025,10000
16/2025,6810,65000,Aprovada,,Material de laboratório Ciências Biológicas,BENS,102122,45705,45825,120,BAB - CIENCIAS BIOLÓGICAS,32/2024,Médio,1,45809,Material,PRODUTOS QUÍMICOS,,,,,,65000,1,1,23,102122-16/2025,65000
17/2025,5895,5000,Aprovada,,Audiovisual anfiteatros,BENS,102122,45897,45989,92,BAO - ODONTOP. ORTO. S COLETIVA,52/2024,Médio,2,45868,Material,EQUIPAMENTOS DIVERSOS PARA COMUNICAÇÕES,,,,,,5000,1,1,22,102122-17/2025,5000
18/2025,6515,3190,Aprovada,,Médico-Hospitalar Rondônia e Clin Fono,BENS,102122,45610,45730,120,PROJETO RONDONIA,28/2024,Alto,1,45839,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,3190,1,1,18,102122-18/2025,3190
18/2025,6515,5500,Aprovada,,Médico-Hospitalar Rondônia e Clin Fono,BENS,102122,45610,45730,120,CLINICA DE FONOAUDIOLOGIA,31/2024,Médio,1,45809,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,5500,1,1,18,102122-18/2025,5500
18/2025,6515,31550,Aprovada,,Médico-Hospitalar Rondônia e Clin Fono,BENS,102122,45610,45730,120,CLINICA DE FONOAUDIOLOGIA,36/2024,Médio,1,45718,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,31550,1,1,18,102122-18/2025,31550
18/2025,6532,1000,Aprovada,,Médico-Hospitalar Rondônia e Clin Fono,BENS,102122,45610,45730,120,PROJETO RONDONIA,28/2024,Alto,2,45839,Material,VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS,,,,,,1000,1,1,18,102122-18/2025,1000
19/2025,6520,11400,Aprovada,,Material Odontológico Geral,BENS,102122,45555,45677,122,UBAS,39/2024,Médio,1,45736,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,11400,1,1,15,102122-19/2025,11400
