Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
59/2025,929,20000,Aprovada,,Contratação de atores pacientes simulados,SERVICOS,102122,45874,45964,90,BAF - FONOAUDIOLOGIA,53/2024,Médio,1,45964,Serviço,OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,,,,,,20000,1,1,96,102122-59/2025,20000
6/2025,6140,2000,Aprovada,,Aquisição de artigos de escritório,BENS,102122,45677,45797,120,CLINICA DE FONOAUDIOLOGIA,31/2024,Médio,2,45809,Material,BATERIAS RECARREGÁVEIS,,,,,,2000,1,1,2,102122-6/2025,2000
6/2025,7510,1200,Aprovada,,Aquisição de artigos de escritório,BENS,102122,45677,45797,120,PROJETO RONDONIA,27/2024,Alto,3,45839,Material,ARTIGOS PARA ESCRITÓRIO,,,,,,1200,1,1,2,102122-6/2025,1200
6/2025,7510,59000,Aprovada,,Aquisição de artigos de escritório,BENS,102122,45677,45797,120,DEPARTAMENTOS,23/2024,Médio,1,45713,Material,ARTIGOS PARA ESCRITÓRIO,,,,,,59000,1,1,2,102122-6/2025,59000
6/2025,7510,100000,Aprovada,,Aquisição de artigos de escritório,BENS,102122,45677,45797,120,ALMOXARIFADO,8/2024,Médio,1,45899,Material,ARTIGOS PARA ESCRITÓRIO,,,,,,100000,1,1,2,102122-6/2025,100000
60/2025,6350,120000,Aprovada,,Sistema de monitoramento e porteiro eletrônico,BENS,102122,45562,45677,115,ATF - FINANCEIRO,73/2024,Médio,1,45838,Material,"SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA",,,,,,120000,1,1,104,102122-60/2025,120000
61/2025,7290,30000,Aprovada,,Aquisição de secador de mão,BENS,102122,45902,45992,90,ATF - FINANCEIRO,74/2024,Baixo,1,46001,Material,UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS,,,,,,30000,1,1,103,102122-61/2025,30000
63/2025,833,700000,Aprovada,,Reforma da área interna e cobertura do CPC,OBRAS_SERV_ESP_ENGENHARIA,102122,45820,45940,120,ATF - FINANCEIRO,77/2024,Médio,1,45868,Serviço,SERVIÇOS DE ENGENHARIA,,,22225.0,SERVIÇO ENGENHARIA,,700000,1,1,109,102122-63/2025,700000
64/2025,833,380000,Aprovada,,Reforma do prédio da manutenção.,OBRAS_SERV_ESP_ENGENHARIA,102122,45694,45810,116,ATF - FINANCEIRO,78/2024,Médio,1,45807,Serviço,SERVIÇOS DE ENGENHARIA,,,22225.0,SERVIÇO ENGENHARIA,,380000,1,1,108,102122-64/2025,380000
65/2025,833,350000,Aprovada,,Reforma das antigas câmaras escuras,OBRAS_SERV_ESP_ENGENHARIA,102122,45721,45841,120,ATF - FINANCEIRO,79/2024,Médio,1,45838,Serviço,SERVIÇOS DE ENGENHARIA,,,22225.0,SERVIÇO ENGENHARIA,,350000,1,1,107,102122-65/2025,350000
66/2025,833,250000,Aprovada,,Reforma da área da disciplina de Microbiologia.,OBRAS_SERV_ESP_ENGENHARIA,102122,45881,46001,120,ATF - FINANCEIRO,80/2024,Baixo,1,45960,Serviço,SERVIÇOS DE ENGENHARIA,,,22225.0,SERVIÇO ENGENHARIA,,250000,1,1,106,102122-66/2025,250000
68/2025,871,125000,Aprovada,Encerrada,Manutenção preventiva e atualização de software dos simuladores,SERVICOS,102122,45671,45721,50,BAO - ODONTOP. ORTO. S COLETIVA,2/2025,Médio,1,45716,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,16314.0,INSTALAÇÃO / MANUTENÇÃO / REPARO - EQUIPAMENTO LABORATÓRIO,,125000,1,1,111,102122-68/2025,125000
69/2025,969,20000,Aprovada,,intercâmbio cultural,SERVICOS,102122,45687,45777,90,Medicina,5/2025,Médio,1,45777,Serviço,OUTROS SERVIÇOS DE RECREAÇÃO E DIVERSÃO,,,19933.0,INTERCÂMBIO CULTURAL,,20000,1,1,112,102122-69/2025,20000
7/2025,6135,10800,Aprovada,,Aquisição pilha 13 e AASI Rondônia,BENS,102122,45722,45842,120,PROJETO RONDONIA,27/2024,Alto,1,45839,Material,BATERIAS NAO RECARREGÁVEIS,,,,,,10800,1,1,22,102122-7/2025,10800
7/2025,6515,88000,Aprovada,,Aquisição pilha 13 e AASI Rondônia,BENS,102122,45722,45842,120,PROJETO RONDONIA,27/2024,Alto,2,45839,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,88000,1,1,22,102122-7/2025,88000
70/2025,6515,2800000,Aprovada,,aparelhos auditivos AASI,BENS,102122,45687,45748,61,CLINICA DE FONOAUDIOLOGIA,6/2025,Médio,1,45746,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,2800000,1,1,116,102122-70/2025,2800000
71/2025,6515,650000,Aprovada,,aparelhos auditivos AASI 2,BENS,102122,45687,45716,29,CLINICA DE FONOAUDIOLOGIA,7/2025,Médio,1,45716,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,650000,1,1,115,102122-71/2025,650000
72/2025,6640,872000,Aprovada,,Microscópios para o laboratório de microscopia ,BENS,102122,45810,45930,120,BAB - CIENCIAS BIOLÓGICAS,8/2025,Médio,1,45930,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,7059.0,MICROSCÓPIO,,,,872000,1,1,114,102122-72/2025,872000
73/2025,833,50000,Aprovada,Fase Externa,Reforma para adequação do anfiteatro 5 ,SERVICOS,102122,45926,45930,4,OBRAS,9/2025,Médio,1,45838,Serviço,SERVIÇOS DE ENGENHARIA,,,,,,50000,1,1,113,102122-73/2025,50000
74/2025,853,2100000,Aprovada,,serviço de limpeza,SERVICOS,102122,45810,45930,120,ATF - FINANCEIRO,68/2024,Alto,1,45901,Serviço,SERVIÇOS DE LIMPEZA,,,,,,2100000,1,1,121,102122-74/2025,2100000
75/2025,6525,80000,Aprovada,,Aparelho de Raio X,BENS,102122,45722,45810,88,BAD - DENT. ENDO. MAT ODONT.,10/2025,Médio,1,45809,Material,"EQUIPAMENTOS E SUPRIMENTOS DE RAIOS-X DE USO  MÉDICO,  DENTÁRIO E VETERINÁRIO",2866.0,APARELHO RAIOS X,441901.0,"APLICAÇÃO: USO ODONTOLÓGICO, POTÊNCIA CABEÇOTE: TENSÃO DO TUBO 60 KV, ADICIONAIS: PORTÁTIL, COMPONENTES: MICROPROCESSADO, PAINEL LCD, SENSOR DIGITAL",UN,20000,4,1,119,102122-75/2025,80000
76/2025,7060,60000,Aprovada,,Aquisição de monitores,BENS,102122,45679,45769,90,STI,11/2025,Médio,1,45748,Material,PEÇAS E ACESSÓRIOS PARA COMPUTADORES,6669.0,MONITOR COMPUTADOR,619128.0,"AJUSTE: COM REGULAGEM DE ALTURA, ALIMENTAÇÃO: BIVOLT, FORMATO TELA: ULTRAWIDE, GARANTIA ON SITE: SUPERIOR A 36, INTERATIVIDADE DA TELA: SEM INTERATIVIDADE, QUALIDADE DE IMAGEM: FULL HD, TAMANHO TELA: 23 A 30, TIPO DE TELA: LCD",UN,600,100,1,118,102122-76/2025,60000
77/2025,7010,50000,Aprovada,,Aquisição de servidor NAS,BENS,102122,45811,45901,90,BAD - DENT. ENDO. MAT ODONT.,12/2025,Médio,1,45901,Material,COMPUTADORES,10293.0,SERVIDOR,486356.0,"ARMAZENAMENTO SAS: SEM DISCOS SAS, ARMAZENAMENTO SATA: SEM DISCOS SATA, ARMAZENAMENTO SSD: COM DISCOS SSD, FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG), GARANTIA ON SITE: 12, INTERFACE REDE LAN: 2, INTERFACE REDE SAN: 2, MEMÓRIA RAM: 8, NÚCLEOS POR PROCESSADOR: 4, PROCESSADORES FÍSICOS: 2, SISTEMA OPERACIONAL: PROPRIETÁRIO, TIPO: RACK",UN,50000,1,1,117,102122-77/2025,50000
79/2025,6525,250000,Aprovada,,Aquisição equipamentos clínica de fono,BENS,102122,45840,45960,120,Laboratório Pesquisa FONO,57/2024,Médio,1,45899,Material,"EQUIPAMENTOS E SUPRIMENTOS DE RAIOS-X DE USO  MÉDICO,  DENTÁRIO E VETERINÁRIO",,,,,,250000,1,1,122,102122-79/2025,250000
8/2025,6505,150000,Aprovada,,Material odontológico Almoxarifado,BENS,102122,45750,45873,123,ALMOXARIFADO,13/2024,Médio,1,45897,Material,DROGAS E MEDICAMENTOS,,,,,,150000,1,1,18,102122-8/2025,150000
8/2025,6520,300000,Aprovada,,Material odontológico Almoxarifado,BENS,102122,45750,45873,123,ALMOXARIFADO,10/2024,Médio,1,45838,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,300000,1,1,18,102122-8/2025,300000
80/2025,6515,200000,Aprovada,,sistema de ultrassonografia ,BENS,102122,45840,45960,120,BAE - ESTOMATO. CIRU. RADIO. PATO,14/2025,Médio,1,45899,Material,"Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos",,,,,,200000,1,1,123,102122-80/2025,200000
9/2025,6520,54000,Aprovada,,Aquisição de equipos odontológcos,BENS,102122,45789,45909,120,TRIAGEM - URGENCIA,67/2024,Médio,1,45910,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,54000,1,1,15,102122-9/2025,54000
9/2025,6520,326500,Aprovada,,Aquisição de equipos odontológcos,BENS,102122,45789,45909,120,BAD - DENT. ENDO. MAT ODONT.,62/2024,Médio,1,45746,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,326500,1,1,15,102122-9/2025,326500
